ojibwe_word,english_translation,word_class,source,license,orthography,notes,audio_url
gilzhiitaa,"finish a task, finish work",vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg ingiizhiitaa; prt gaazhiitaad giizhoo'o vai dress warmly; hg ingiizhoo*; prt gaazhoo'od,
giizhoopizo,be wrapped up warm,vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg ingiizhoopiz; prt gaazhoopizod,
giizhoopizon,scarf,na,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,pi giizhoopizonag; loc giizhoopizoning; dim giizhoopizonens,
giizhooshin,lie in warmth,vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg ingiizhooshin; prt gaazhooshing giizhootawage'o vai wear earmuffs; hg ingiizhootawage*; prt gaazhootawage'od giizhootawage'on na earmuff; pi giizhootawage'onag; dim giizhootawage'onens,
giizhoote,be hot inside,vii,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,prt gaazhooteg; aug giizhootemagad; prt aug gaazhootemagak,
giizikan,"take s.t. off the body (e.g., clothes)",vti,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg ingiizikaan; pn gaazikang,
giizikaw,"take s.o. off the body (e.g., clothes)",vta,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg ingiizikawaa; prt gaazikawaad,
giizikonaye,"undress, take off one's clothes",vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg ingiizikonaye; prt gaazikonayed giizikonaye* vta undress s.o.; Isg ingiizikonaye'aa; prt gaazikonaye'aad,
giizis,"sun, moon, month",na,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,pi giizisoog; loc giizisong; dim giizisoons giizisoo-mazina'igan ni calendar; pi giizisoomazina'iganari; loc giizisoo-mazina'iganing; dim giizisoo-miazina'igaans,
giiziz,finish cooking s.o.,vta,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg ingiizizwaa; prt gaazizwaad,
giizizamaw,cook (s.t.) for s.o.,vta,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg ingiizizamawaia; prt gaazizamawaad,
giizizan,finish cooking s.t.,vti,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,hg ingiizizaan; pn gaazizang,
giizizekwe,cook,vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg ingiizizekwe; prt gaazizekwed,
giizizo,be done cooking,vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,prt gaazizod; also giizhizo,
go,emphatic word,pc,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,also igo,
goda,emphatic word god am vta take a taste of s.t.,pc,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg ingodamaa; prt gwedamaad godandan ^rz take a taste of s.o.; /v^ingodandaan: prt gwedandarig,
godigoshin,fall and be injured,vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg ingodigoshin; prt gwedigoshing,
godin,test s.o. with hand,vta,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg ingodinaa; prt gwedinaad,
godinan,test s.t. with hand,vti,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,hg ingodinaan; pn gwedinang,
godotaagan,bell,ni,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,"pi godotaaganan; loc gototaaganing; dim gototaagaans goji- pv4 try, attempt",
gojichige,try things,vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,"hg ingojichige; prt gwejichiged goji'ewizi vai try, make an effort; Isg ingoji'ewiz; prt gweji'ewizid",
gojimaam,take a smell of s.o.,vta,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,hg ingojimaamaa; prt gwejimaamaad gojimaandan vft take a smell of s.t.; hg ingojimaandaan; prt gwejimaandang,
goji-nagamo,practice singing,vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg \ngo\\nagam; prt gweji-nagamod,
gojipidan,"take a taste of s.t., check s.t. by tasting",vti,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,hg ingojipidaan; prt gwejipidang,
gojipijige,taste things,vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,hg ingojipijige; prt gwejipijiged,
gojipozh,"take a taste of s.o., check s.o. by tasting",vta,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,"hg ingojipwaa; pn gwejipwaad gomaapc some amount, to a middling degree",
gomaapii,"for some time, some distance",pc,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,,
gondan,swallow s.t.,vti,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,hg ingondaan; prt gwendang,
gondaabiigin,"put s.o. in water, dip s.o.",vta,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,hg ingondaabiiginaa; pn gwendaabiiginaad,
gondaabiiginan,"put s.t. in water, dip s.t.",vti,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg ingondaabiiginaan; prt gwendaabiiginang,
gonzaabii,sink in water,vii,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,prt gwenzaabiig; aug gonzaabiimagad; prt aug gwenzaabiimagak,
gonzaabiishkoojigan,sinker (fishing tackle),ni,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,pi gonzaabiishkoojiganan; loc gonzaabiishkoojigan ing; dim gonzaabiishkoojigaans gonzhi /gonN-/ vta swallow s.o.; hg ingonaa; prt gwenaad,
gopibatoo,run inland,vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,hg ingopibatoo; prt gwepibatood,
gopimine,take wild rice inland,vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,"hg ingopimine; pn gwepimined gopiwidoon vti2 take s.t. inland, carry s.t. inland; hg ingopiwidoon; pn gwepiwidood gopiwizh /gopiwiN-/ vta take s.o. inland, carry s.o. inland; hg ingopiwinaa; prt gwepiwinaad",
gopii,"go away from the water, go inland",vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,hg ingopii; prt gwepiid,
gosha,emphatic panicle goshi /goS-/ vta fear s.o.,pc,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,hg ingosaa; pn gwesaad goshko* vta surprise s.o.; Isg ingoshko'aa; pn gweshko'aad,
goshkokaa,"be surprised, be startled",vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg ingoshkokaa; prt gweshkokaad,
goshkom,surprise s.o. verbally,vta,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg ingoshkomaa; prt gweshkomaad,
goshkozi,"wake up, be awake",vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,hg ingoshkoz; prt gweshkozid,
goshkwaawaadabi,"sit quietly, remain tranquilly in place",vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,"hg ingoshkwaawaadab; prt gweshkwaawaadabid goshkwaawaadizi vaibe still, be quiet; hg ingoshkwaawaadiz; pn gweshkwaawaadizid gotan vtibe afraid of s.t., fear s.t.; hg ingotaan; pn gwetang",
gotaaji,"be afraid, have fear",vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,7sjpingotaaj;prr gwetaajid,
gotaajishki,be timid,vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,7^ingotaajishk;prr gwetaajishkid gotaamigoz i—gwayakwaakwad,
gotaamigozi,"be a good worker, be a good provider",vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg ingotaamigoz; pn gwetaamigozid,
gotigobide,"roll over, go out of place",vii,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,"pn gwetigobideg; aug gotigobidemagad; prt aug gwetigobidemagak gotigobidoon vti2 roll s.t. over, tip s.t.; Isg ingotigobidoon; pn gwetigobidood gotigobizh /gotigobiN-/ vta roll s.o. over, tip s.o.; Isg ingotigobinaa; prt gwetigobinaad gotigobizo vai'roll over, go out of place; Isg ingotigobiz; prt gwetigobizod",
gozi,move one's residence,vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg ingoz; prt gwezid,
gozigwan,be heavy,vii,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,prt gwezigwang gozigwani vaibe heavy; Isg ingozigwan;prt gwezigwanid,
gozigwaakomin,Juneberry,na,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,pi gozigwaakominag,
gozigwaakominagaawanzh,Juneberry bush,na,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,pi gozigwaakominagaawanzhiig; loc gozigwaakominagaawanzhiing; dim gozigwaakominagaawanzhiins,
gozikan,"test s.t. with foot or body, try on s.t. (e.g., clothes)",vii,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg ingozikaan; prt gwezikang,
gozikaw,"test s.o. with foot or body, try on s.o. (e.g., clothes)",vta,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg ingozikawaa; prt gwezikawaad googa'am vai2 jump out of the water as a fish; prt gwaaga'ang,
googii,dive,vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg ingoogii; prrgwaagiid gookooko'oo na owl; pi gookooko'oog; dim gookooko'oons,
gookoosh,"pig, pork",na,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,pi gookooshag; dim gookooshens,
gookooshi-bimide,lard gookooshi-wiiyaas HI pork,ni,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,loc gookooshiwiiyaasing,
goon,snow,na,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,loc gooning; dim goonens,
goonikaa,be much snow,vii,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,pn gwaanikaag; aug goonikaamagad; prt aug gwaanikaamagak,
goopadendan,consider s.t. worthless,vti,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg ingoopadendaan; prt gwaapadendang,
goopadenim,consider s.o. worthless,vta,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg ingoopadenimaa; pn gwaapadenimaad,
goopadizi,"be worthless, be useless",vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,"Isg ingoopadiz; prt gwaapadizid goopaji' vta mistreat s.o., ruin s.o.; Isg ingoopaji'aa; prt gwaapaji'aad goopajitoon vti2 mistreat s.t., ruin s.t.; Isg ingoopajitoon; pn gwaapajitood",
gwanabishkan,tip s.t. with foot or body,vti,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg ingwanabishkaan; pn gwenabishkang,
gwanabishkaa,"capsize, tip",vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg ingwanabishkaa; prt gwenabishkaad,
gwayak,"straight, right, correct gwayakobidoon vti2 pull s.t. straight, tear s.t. straight",pc,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg ingwayakobidoon; pn gweyakobidood,
gwayako-bimaadizi,live a proper life,vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,"Isg ingwayako-bimaadiz; prt gweyakobimaadizid gwayakobizh /gwayakobiN-/ vta pull s.o. straight, tear s.o. straight; Isg ingwayakobinaa; prt gweyakobidood gwayakobii'an vti write s.t. correctly; Isg ingwayakobii'aan; pn gweyakobii'ang gwayakobii'ige vai write correctly; Isg ingwayakobii'ige; pn gweyakobii'iged gwayakoboodoon vti2 saw s.t. straight; Isg ingwayakoboodoon; pn gweyakoboodood gwayakoboozh /gwayakobooN-/ vta saw s.o. straight; Isg ingwayakoboonaa; pn gweyakoboonaad",
gwayakochige,"make things right, do things right",vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg ingwayakochige; pn gweyakochiged,
gwayakogaabawi,"stand straight, have good posture",vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg ingwayakogaabaw; prt gweyakogaabawid,
gwayakogi,grow straight,vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg ingwayakog; prt gweyakogid,
gwayakogin,grow straight,vii,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,prt gweyakoging,
gwayakokweni,hold one's head straight,vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg ingwayakokwen; pn gweyakokwenid,
gwayakoshim,lay s.o. straight,vta,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg ingwayakoshimaa; prt gweyakoshimaad,
gwayakoshin,"lie straight, lie correctly",vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg ingwayakoshin; pn gweyakoshing,
gwayakoshkaa,"go straight, go the right way",vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg ingwayakoshkaa; pn gweyakoshkaad gwayakosidoon vti2 lay s.t. straight; Isg ingwayakosidoon; pn gweyakosidood,
gwayakosin,"lie straight, lie correctly",vii,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,"prt gweyakosing gwayakotam vai2 hear the right thing, find out the truth; Isg ingwayakotam; prt gweyakotang",
gwayakowe,speak correctly,vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg ingwayakowe; prt gweyakowed,
gwayakozh,cut s.o. straight,vta,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg ingwayakozhwaa; pn gweyakozhwaad,
gwayakozhan,cut s.t. straight,vti,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg ingwayakozhaan; pn gweyakozhang,
gwayako-zhooniyaa,"cash, ready money",na,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,,
gwayakozi,be straight,vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,pn gweyakozid,
gwayakwakamigaa,be level ground,vii,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,pn gweyakwakamigaag; aug gwayakwakamigaamagad; pn aug gweyakwakamigaamagak,
gwayakwaa,"be straight, be correct",vii,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,"prt gweyakwaag; aug gwayakwaamagad; prt aug gweyakwaamagak gwayakwaabidoo'an an'thread s.t. correctly, bead s.t. correctly (on a loom); Isg ingwayakwaabidoo'aan; pn gweyakwaabidoo'ang gwayakwaabidoo'ige vai bead things correctly (on a loom); 7s£ ingwayakwaabidoo'ige; prt gweyakwaabidoo'iged",
gwayakwaabikad,be straight (as something mineral),vii,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,prt gweyakwaabikak,
gwayakwaabikizi,be straight (as something mineral),vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,prt gweyakwaabikizid,
gwayakwaabiigad,be straight (as something string-like),vii,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,prt gweyakwaabiigak,
gwayakwaabiigizi,be straight (as somediing string-like),vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,prt gweyakwaabiigizid,
gwayakwaakozi,be straight (as something stick- or wood-like),vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,pn gweyakwaakozid,
gwayakwaakwad,be straight (as something stick- or wood-like),vii,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,"pn gweyakwaakwak gwayakwendam—hay' gwayakwendam vai2 think correctly, be certain; Isg ingwayakwendam; pn gweyakwendang",
gwayakwendan,consider s.t. right,vti,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg ingwayakwendaan; pn gweyakwendang,
gwayakwendaagozi,be considered right,vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,"Isg ingwayakwendaagoz; prt gweyakwendaagozid gwayakwendaagwad mi be considered right; prt gweyakwendaagwak gwaaba' vta scoop s.o. up; Jji'ingwaaba'aaj^rr gwayaaba'aad gwaaba'amaw vta scoop (s.t.) up for s.o., get water for s.o.; Isg ingwaaba'amawaa; prt gwayaaba'amawaad gwaaba'an vti scoop s.t. up; Isg ingwaaba'aan; prt gwayaaba'ang gwaaba'ibii vai draw water, scoop up water; Isg ingwaaba'ibii; pn gwayaaba'ibiid gwaaba'igan m dipper; pi gwaaba'iganan; loc gwaaba'iganing; dim gwaaba'igaans gwaaba'ige vai scoop up things, dip up things; Isg ingwaaba'ige; prt gwayaaba'iged gwaaba'waawangwaan ni shovel (for dirt); pi gwaaba'waawangwaanan; loc gwaaba'waawangwaaning; dim gwaaba'waawangwaanens",
gwaashkwani,jump,vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg ingwaashkwan; prt gwayaashkwanid gwaashkwaashkw= < gwaashkw=,
gwaashkwesin,bounce,vii,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,pn gwayaashkwesing,
gwaashkwezi,"be eager, be ambitious, be energetic",vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,7sjiingwaashkwez;prr gwayaashkwezid,
gwech,"enough, sufficient",pc,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,,
gwekabi,turn around while sitting,vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg ingwekab; pn gwayekabid,
gwekaanimad,wind shifts,vii,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,pn gwayekaanimak,
gwekendam,change one's mind,vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg ingwekendam; pn gwayekendang,
gwekibagizo,"turn quickly, right self",vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg ingwekibagiz; pn gwayekibagizod,
gwekibatoo,turn running,vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg ingwekibatoo; pn gwayekibatood gwekibidoon vti2 turn s.t. with hands; Isg ingwekibidoon; prt gwayekibidood gwekibizh /gwekibiN-/ vta turn s.o. with hands; hg ingwekibinaa; pn gwayekibinaad,
gwekibizo,turn driving,vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg ingwekibiz; pn gwayekibizod,
gwekigaabawi,turn while standing,vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg ingwekigaabaw; pn gwayekigaabawid,
gwekikweni,turn one's head around,vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg ingwekikwen; pn gwayekikwenid,
gwekin,turn s.o. by hand,vta,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,hg ingwekinaa: prt gwayekinaad,
gwekinan,turn s.t. by hand,vti,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg ingwekinaan; pn gwekinang,
gwekinige,turn things by hand,vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg ingwekinige; pn gwayekiniged,
gwekishim,put s.o. turned,vta,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg ingwekishimaa; pn gwayekishimaad,
gwekishin,turn lying in place,vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg ingwekishin; pn gwayekishing gwekisidoon vti2 put s.t. turned; Isg ingwekisidoon; prt gwayekisidood,
gwekisin,turn lying in place,vii,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,pn gwayekising,
gwekitaa,turn (one's body),vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg ingwekitaa; pn gwayekitaad,
gwekiwebinigan,pancake,na,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,pi gwekiwebiniganag; loc gwekiwebiniganing; dim gwekiwebinigaans,
gwekiigin,turn s.o. over (as something sheetlike),vta,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg ingwekiiginaa; pn gwayekiiginaad,
gwekiiginan,turn s.t. over (as something sheetlike),vti,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg ingwekiiginaan; pn gwekiiginang gwekwek= < gwek= gwendaaseg ni-pt liniment; pi gwendaasegin gwiikwiin= < gwiin=,
gwiinawaabann,fail to see s.o.,vta,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg ingwiinawaabamaa; pn gwaanawaabamaad,
gwiinawaabandan,Ml to see s.t.,vti,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg ingwiinawaabandaan; prt gwaanawaabandang,
gwiinawendan,miss s.t. absent,vti,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg ingwiinawendaan; pn gwaanawendang,
gwiinawenim,miss s.o. absent,vta,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,"Isg ingwiinawenimaa; prt gwaanawenimaad gwiinawi- pv4 not knowing, not able gwiinawi-doodam vai2 not know what to do; Isg ingwiinawi-doodam: pn gwaanawi-doodang gwiinawi-inendam vai2 not know what to think; Isg ingwiinawi-inendam; pn gwaanawiinendang gwiingwa'aage na wolverine; pi gwiingwa'aageg; dim gwiingwa'aagens",
gwiinobii,be unable to find a drink,vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg ingwiinobii; prt gwaanobiid,
gwiishkoshi,whistle,vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg ingwiishkosh; pn gwaashkoshid,
gwiishkoshim,whistle to s.o.,vta,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg ingwiishkoshimaa; pn gwaashkoshimaad,
gwiishkoshwewegamide,whistle from boiling,vii,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,prt gwaashkoshwewegamideg; aug gwiishkoshwewegamidemagad; pn aug gwaashkoshwewegamidemagak,
gwiishkoshwewegamizo,whistle from boiling,vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,pn gwaashkoshwewegamizod,
gwiiwizens,boy,na,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,pi gwiiwizensag,
gwiiwizensiwi,be a boy,vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg ingwiiwizensiw; pn gwaawizensiwid hay* pc expression of displeasure at accident or mistake idan—ina'o,
idan,"say so to s.t., speak to s.t.",vti,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg indidaan; prt edang,
idash,"and, but",pc,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,"also dash, -sh",
idiwag,"they say to each other, they speak to each other in a certain way",vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Ipl indidimin: prt edijig,
igaye,"and, as for",pc,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,"also gaye, ge igiw* pr those animate plural demonstrative; also ingiw, ingi, agiw* igiwedig* pr those over there animate plural demonstrative'., also ingiwedig",
igo,"emphatic word:, also go i'imaa/jc there",pc,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,"also imaa i'iw pr that inanimate singular demonstrative; also iw, *iw, i*i, *i i'lwedi pr that over there inanimate singular demonstrative; also iwedi, 'iwedi",
ikido,"say, speak so",vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg indikid; prt ekidod,
ikidowin,word,ni,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,"pi ikidowinan; dim ikidowinens \kopc used to, formerly, it was the custom to...; also ko",
ikogaabawi,stand out of the way,vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg indikogaabaw; prr ekogaabawid,
ikon,set s.o. out of the way,vta,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg indikonaa; prt ekonaad,
ikonan,set s.t. out of the way,vti,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg indikonaan; prt ekonang,
ikonaazhikaw,chase s.o. out of the way,vta,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg indikonaazhikawaa; prt ekonaazhikawaad,
ikonigaade,be set out of the way,vii,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,prt ekonigaadeg; aug ikonigaademagad; prt aug e kon i gaadem agak,
ikonigaazo,"be set out of the way, be evicted",vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,prt ekonigaazod,
ikoshim,put s.o. out of the way,vta,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg indikoshimaa; prt ekoshimaad,
ikoshin,lie out of the way,vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg indikoshin; prt ekoshing ikosidoon vti2 put s.t. out of the way; Isg indikosidoon; prt ekosidood,
ikosin,lie out of the way,vii,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,prt ekosing ikoweba* /ikoweba'w-/ vta shove s.o. out of the way with something; Isg indikoweba'waa; prt ekoweba'waad ikoweba'an vti shove s.t. out of the way with something; Isg indikoweba'aan; pn ekoweba'ang,
ikowebin,"toss s.o. aside, shove aside s.o.",vta,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,"Isg indikowebinaa; prt ekowebinaad ikowebinan vn toss s.t. aside, shove aside s.t.; Isg indikowebinaan; prt ekowebinang",
ikowebishkan,kick s.t. out of the way,vti,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg indikowebishkaan; prt ekowebishkang,
ikowebishkaw,kick s.o. out of the way,vta,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg indikowebishkawaa; prt ekowebishkawaad,
ikwa,louse,na,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,pi ikwag,
ikwabi,"sit aside, move out of the way sitting",vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg indikwab: prt ekwabid,
ikwanagweni,roll up one's sleeve,vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg indikwanagwen; prt ekwanagwenid,
ikwanaamo,draw breath in,vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg indikwanaam; prt ekwanaamod,
ikwe,"woman, queen (card)",na,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,pi ikwewag; dim ikwens ikwe-biizikiigan nz item of women's clothing; loc ikwe-biizikiiganing; dim ikwe-biizikiigaans,
ikwe-niimi,dance the women's dance,vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg indikwe-niim; prt ekwe-niimid ikwe-niimi'idiwag /ikwe-niimi'idi-/ vai they dance the women's dance; Ipl indikwe-niimi'idimin; prt ekwe-niimi'idijig ikwe-niimi'idiwin ni women's dance; pi ikweniimi'idiwinan,
ikwewi,be a woman,vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg indikwew; prt ekwewid,
ikwezens,girl,na,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,pi ikwezensag,
ikwezensiwi,be a girl,vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,"Isg indikwezensiw; prt ekwezensiwid im= pre first person prefix before b-; also nim=, m=",
imaa,there,pc,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,"also maa, i'imaa imbaabaa /-baabaay-/ nad my father; pi imbaabaayag imbaabaayinaan nad our father = grandfather; also imbaabaanaan, baabaanaan imbwaam /-bwaam-/ nid my thigh (back of thigh), my hindquarter; pi imbwaaman; loc imbwaaming; dim imbwaamens \n= pre first person prefix before d-,j-} g-, z, zh-\ also nin=, n= ma. pc yes-no question word; also na",
inabi,sit a certain way,vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg indinab; prt enabid,
inademo,"cry a certain way, go to a certain place crying",vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg indinadem; prt enademod,
inagim,set a certain price on s.o.,vta,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg indinagimaa; prt enagimaad,
inagindamaw,set a certain price on (s.t.) for s.o.,vta,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,/^;Mndinagindamawaa;/<r/ e nagi n d amawaad,
inagindan,set a certain price on s.t.,vti,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg indinagindaan; prt enagindang,
inaginde,"have a certain cost, have a certain price",vii,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,pn enagindeg; aug inagindemagad; prt aug enagindemagak,
inaginzo,"have a certain cost, have a certain price, be a certain date of the month",vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,pn enaginzod,
